Cargo	Comuna	Partido Descripcion	Total Votos
DIP.LEGIS.CABA	COMUNA 13	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 14	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 12	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 4	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 11	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 7	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 15	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 6	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 1	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 5	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 10	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 3	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 9	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 8	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 2	VOTOS RECURRIDOS	0
DIP.LEGIS.CABA	COMUNA 13	VOTOS NULOS	954
DIP.LEGIS.CABA	COMUNA 14	VOTOS NULOS	885
DIP.LEGIS.CABA	COMUNA 12	VOTOS NULOS	1135
DIP.LEGIS.CABA	COMUNA 4	VOTOS NULOS	1112
DIP.LEGIS.CABA	COMUNA 11	VOTOS NULOS	1046
DIP.LEGIS.CABA	COMUNA 7	VOTOS NULOS	1092
DIP.LEGIS.CABA	COMUNA 15	VOTOS NULOS	1017
DIP.LEGIS.CABA	COMUNA 6	VOTOS NULOS	829
DIP.LEGIS.CABA	COMUNA 1	VOTOS NULOS	836
DIP.LEGIS.CABA	COMUNA 5	VOTOS NULOS	857
DIP.LEGIS.CABA	COMUNA 10	VOTOS NULOS	966
DIP.LEGIS.CABA	COMUNA 3	VOTOS NULOS	888
DIP.LEGIS.CABA	COMUNA 9	VOTOS NULOS	914
DIP.LEGIS.CABA	COMUNA 8	VOTOS NULOS	1033
DIP.LEGIS.CABA	COMUNA 2	VOTOS NULOS	525
DIP.LEGIS.CABA	COMUNA 13	VOTOS EN BLANCO	4764
DIP.LEGIS.CABA	COMUNA 14	VOTOS EN BLANCO	4409
DIP.LEGIS.CABA	COMUNA 12	VOTOS EN BLANCO	5062
DIP.LEGIS.CABA	COMUNA 4	VOTOS EN BLANCO	7420
DIP.LEGIS.CABA	COMUNA 11	VOTOS EN BLANCO	4944
DIP.LEGIS.CABA	COMUNA 7	VOTOS EN BLANCO	5755
DIP.LEGIS.CABA	COMUNA 15	VOTOS EN BLANCO	5150
DIP.LEGIS.CABA	COMUNA 6	VOTOS EN BLANCO	4225
DIP.LEGIS.CABA	COMUNA 1	VOTOS EN BLANCO	5377
DIP.LEGIS.CABA	COMUNA 5	VOTOS EN BLANCO	4699
DIP.LEGIS.CABA	COMUNA 10	VOTOS EN BLANCO	4704
DIP.LEGIS.CABA	COMUNA 3	VOTOS EN BLANCO	5190
DIP.LEGIS.CABA	COMUNA 9	VOTOS EN BLANCO	4959
DIP.LEGIS.CABA	COMUNA 8	VOTOS EN BLANCO	6180
DIP.LEGIS.CABA	COMUNA 2	VOTOS EN BLANCO	2953
DIP.LEGIS.CABA	COMUNA 13	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 14	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 12	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 4	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 11	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 7	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 15	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 6	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 1	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 5	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 10	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 3	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 9	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 8	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 2	VOTOS DE IDENTIDAD IMPUGNADA	0
DIP.LEGIS.CABA	COMUNA 13	UNITE POR LA LIBERTAD Y LA DIG	2736
DIP.LEGIS.CABA	COMUNA 14	UNITE POR LA LIBERTAD Y LA DIG	2427
